;problem_seed;num_features;num_items;item_sphere_size;method;query_seed;K;gamma;gamma_normalized;method_objval;mmu_objval;mmu_objval_ub;mmu_objval_lb;mmr_objval;mmr_objval_ub;mmr_objval_lb;mmu_prob_random_wins;mmr_prob_random_wins;query_list;solve_time;mmu_objective_eval_time;mmr_objective_eval_time;expt_params;mmu_ub;mmu_lb;mmu_objval_normalized_new
0;0;10;40;10.0;mmu_heuristic;None;1;0.0;0.0;-8.469848264915411;-8.469848264915411;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35)];28.837923288345337;0.37270450592041016;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.6158096352941465
1;0;10;40;10.0;mmu_heuristic;None;2;0.0;0.0;-8.469848264915411;-8.469848264915411;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14)];1131.3395493030548;0.42698192596435547;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.6158096352941465
2;0;10;40;10.0;mmu_heuristic;None;3;0.0;0.0;-8.457944947544425;-8.457944947544425;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14)];1479.3191182613373;1.127131700515747;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.6163495670259712
3;0;10;40;10.0;mmu_heuristic;None;4;0.0;0.0;-7.499774660915983;-7.499774660915983;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26)];2127.875699043274;1.30779767036438;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.659811950336302
4;0;10;40;10.0;mmu_heuristic;None;5;0.0;0.0;-6.4995777315028125;-6.4995777315028125;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26), (0, 7)];2566.1282801628117;1.071772813796997;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.7051806524747645
5;0;10;40;10.0;mmu_heuristic;None;6;0.0;0.0;-5.526340872235292;-5.526340872235292;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26), (0, 7), (6, 26)];2937.786118030548;1.1722474098205566;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.7493264520466418
6;0;10;40;10.0;mmu_heuristic;None;7;0.0;0.0;-4.966328189208878;-4.966328189208878;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26), (0, 7), (6, 26), (1, 3)];3460.472118139267;1.4797906875610352;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.774728498246577
7;0;10;40;10.0;mmu_heuristic;None;8;0.0;0.0;-4.33265324050625;-4.33265324050625;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26), (0, 7), (6, 26), (1, 3), (7, 28)];4107.5482761859885;2.4194791316986084;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.8034718478359048
8;0;10;40;10.0;mmu_heuristic;None;9;0.0;0.0;-4.151589087660645;-4.151589087660645;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26), (0, 7), (6, 26), (1, 3), (7, 28), (5, 28)];5718.509334087372;2.3214893341064453;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.81168487606748
9;0;10;40;10.0;mmu_heuristic;None;10;0.0;0.0;-4.050152207056446;-4.050152207056446;0.0;-22.045967423988646;None;None;None;1.0;None;[(1, 35), (5, 14), (0, 14), (0, 26), (0, 7), (6, 26), (1, 3), (7, 28), (5, 28), (4, 24)];7120.788324356079;3.4050850868225098;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.8162860295870042
10;0;10;40;10.0;random;None;1;0.0;0.0;0.0;-19.200959455475775;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37)];0.0;0.4230711460113525;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.1290489055797486
11;0;10;40;10.0;random;None;2;0.0;0.0;0.0;-15.947016117560766;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22)];0.0;0.3916749954223633;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.27664702524195894
12;0;10;40;10.0;random;None;3;0.0;0.0;0.0;-15.947016117560766;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31)];0.0;0.9242966175079346;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.27664702524195894
13;0;10;40;10.0;random;None;4;0.0;0.0;0.0;-14.864801252096207;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31), (0, 15)];0.0;0.984565496444702;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.3257360420517634
14;0;10;40;10.0;random;None;5;0.0;0.0;0.0;-14.620918054954307;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31), (0, 15), (12, 24)];0.0;0.4773316383361816;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.3367985276506729
15;0;10;40;10.0;random;None;6;0.0;0.0;0.0;-13.701182729032743;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31), (0, 15), (12, 24), (12, 39)];0.0;1.5849993228912354;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.37851751000391726
16;0;10;40;10.0;random;None;7;0.0;0.0;0.0;-13.653830019838376;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31), (0, 15), (12, 24), (12, 39), (19, 35)];0.0;1.5940337181091309;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.3806654179765491
17;0;10;40;10.0;random;None;8;0.0;0.0;0.0;-11.895665041053514;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31), (0, 15), (12, 24), (12, 39), (19, 35), (18, 31)];0.0;2.8342623710632324;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.4604153760968628
18;0;10;40;10.0;random;None;9;0.0;0.0;0.0;-10.592528349717654;0.0;-22.045967423988646;None;None;None;0.0;None;[(26, 37), (9, 22), (5, 31), (0, 15), (12, 24), (12, 39), (19, 35), (18, 31), (5, 35)];0.0;1.3790013790130615;None;(0.0, 40.0, 10.0, 10.0);0.0;-22.045967423988248;0.5195253559981265
